idx,text,dominant_topic,votes,score,reason,topic_confidence,umap_distance,umap_zscore,dbscan_noise,isolation_forest,oneclass_svm_flag,explanation_gpt
119,"a lake with a city in the background, vancouver, whistler, beautiful cityscape background, cities flourishing, british columbia, low res, by Ancell Stronach, parks and public space, highrise buildings, mountains surrounding, tall buildings, inspired by Maxwell Gordon Lightfoot, city in backround, tall buildings in background, inspired by William Crosbie, blog-photo",2,3,4,multi_detector,0.4818933638218055,5.178239,0.088133216,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
633,"a large white plane, fence, canada, barbed wire, deph of field, small fence, there is a loose wire mesh, langoliers, perforated metal, black. airports, defence, metal border, fence line, focus gate, prison bars, gogo, fences, aircraft wings on back, g6, metal tail, overweight, ready to fly",3,2,3,multi_detector,0.4422304791914484,2.8643405,-0.8918084,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
639,"a large white building, government archive, white marble buildings, pink marble building, canada, national archives, photo taken in 2018, futuristic government chambers, masonic, pillar, masonic lodge, sitting at the parlament meeting, other smaller buildings, set inside of the bank, parliament, inspired by Henry Carr, classified government archive, the hard and strong buildings",3,3,4,multi_detector,0.4255264932921909,7.807584,1.2016673,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1180,"a man standing on a rock overlooking a lake, banff national park, mountains and lakes, rocky mountains and a river, lake blue, a lake between mountains, beautiful lake background, a photo of a lake on a sunny day, mountain lakes, mountain lake, endless lake, stunning nature in background, standing in a lake, parks and lakes, amazing landscape in background",4,3,4,multi_detector,0.5015990033624722,4.7427897,-0.09628056,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1181,"niagara falls in the fall, niagara falls, canada, beautiful stunning waterfall, defence, toronto city, waterfalls and lakes, beautiful border, beautiful city, lakes and waterfalls, toronto, blue wall, waterfall(beautiful, a river flowing with waterfall, wow it is beautiful, the city of toronto, beautiful waterfall, spring season city, vibrant water river, analysis city, tourism",3,4,5,multi_detector,0.5405861046744844,10.846152,2.4885085,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
670,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,3,4,multi_detector,0.5013255819641751,7.9098706,1.2449859,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1185,"a lake with a city in the background, vancouver, whistler, beautiful cityscape background, cities flourishing, british columbia, low res, by Ancell Stronach, parks and public space, highrise buildings, mountains surrounding, tall buildings, inspired by Maxwell Gordon Lightfoot, city in backround, tall buildings in background, inspired by William Crosbie, blog-photo",2,3,4,multi_detector,0.4818933638218055,5.2132397,0.102956146,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
706,"mora lake, mora lake, mora lake, mora lake, mora lake, mora lake, mora lake, mora lake, mora lake, mora, banff national park, spectacular rocky mountains, mountain lakes, british columbia, lakeside mountains, mountains and lakes, mountain lake, rocky mountains, lake blue, national geography photography, rocky mountains and a river, waterfalls and lakes",1,4,5,multi_detector,0.534279728273106,16.61965,4.933599,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1732,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,3,4,multi_detector,0.5013255819641751,7.9140143,1.2467408,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1256,"a plane flying over a mountain range, aeroplane, canada, air, plane, aircraft, the other is used for flight, realistic aircraft, ascendent plane, cad, airplane in the sky, flight, realistic aircrafts, can, canadian maple leaves, flying aircrafts, speedy aircraft, air technology, long wings, langoliers, real aircrafts references",1,3,4,multi_detector,0.4380412846505385,2.9512272,-0.8550117,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1270,"a flag flying in the air, canada, british columbia, canadian maple leaves, boards of canada album cover, boards of canada, beatiful mountain background, tall mountain, dramatic mountain background, moutains, mount, flag, large mountain, country, mountains background, beautiful border, mountain background, scenic mountain setting, large rocky mountain, cascadia, blue wall, petrol",1,3,4,multi_detector,0.539193235419845,6.639328,0.70690805,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1272,"a large passenger jet flying over a city, langoliers, canada, aircraft wings on back, long wings, aircraft, flight, soaring through the sky, turbulence, realistic aircraft, speedy aircraft, canadian maple leaves, gogo, frottage, aeroplane, the other is used for flight, plane, soaring, vancouver, rougue one",1,3,4,multi_detector,0.4932567244209824,2.9356475,-0.86160976,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1282,"a plane flying over a body of water, canada, langoliers, the other is used for flight, air, aircraft wings on back, plane, flight, turbulence, aircraft, aeroplane, realistic aircraft, long wings, gogo, great red feather, defence, soaring through the sky, mordancage, large wingspan, speedy aircraft, large wings",1,2,3,multi_detector,0.47907009192771394,2.8368835,-0.90343654,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1286,"air canada - canada - canada - canada - canada - canada - canada - canada - canada - canada - canada - canada - canada - canada - canada - canada, air, air technology, airborn studios, aeroplane, flying aircrafts, realistic aircrafts, can, aircraft, langoliers, ascendent plane, cad, realistic aircraft",3,3,4,multi_detector,0.5369606531808692,2.9749413,-0.84496874,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1822,"a boat is in the water, niagara falls, 3 boat in river, beautiful stunning waterfall, waterfall(beautiful, white water rapids, immense waterfall, photo of, white water, red water, the photo was taken from a boat, paddle of water, cover with a lot of red water, small boat, rowing boat, waterfall falling into a lake, boat, beautiful waterfall",4,4,5,multi_detector,0.5102711573214266,10.51404,2.3478582,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
296,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,2,3,multi_detector,0.5013255819641751,7.881045,1.2327782,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1338,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,2,3,multi_detector,0.5013255819641751,7.8968487,1.2394712,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1347,"an airplane flying over a mountain range, canada, aeroplane, canadian maple leaves, aircraft, realistic aircraft, the other is used for flight, plane, speedy aircraft, long wings, aircraft wings on back, advanced economy, air, large wingspan, airplane in the sky, ultra detailed. style of arrival, wide open wings, soaring through the sky, ascendent plane",1,3,4,multi_detector,0.46713104987835696,2.9301198,-0.8639508,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1358,"a large building with a clock tower, winnipeg skyline, capitol building, government archive, neoclassical architecture, yeg, drumheller, masonic, capital city, parliament, inspired by Pat Oliphant, white marble buildings, capital, neo classical architecture, parks and monuments, garnishment, capital sin of pride, kent monkman, white marble walls",3,3,4,multi_detector,0.44009515627934115,7.7758985,1.1882484,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
850,"a lake with a city in the background, vancouver, whistler, beautiful cityscape background, cities flourishing, british columbia, low res, by Ancell Stronach, parks and public space, highrise buildings, mountains surrounding, tall buildings, inspired by Maxwell Gordon Lightfoot, city in backround, tall buildings in background, inspired by William Crosbie, blog-photo",2,3,4,multi_detector,0.4818933638218055,5.1836696,0.090433136,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
341,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,2,3,multi_detector,0.5013255819641751,7.898798,1.2402967,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
344,"a plane flying over a body of water, flying over the ocean, flying rocky island, canada, wine-red and grey trim, british columbia, soaring through the sky, canadian maple leaves, aerial photography, realistic aircraft, flight, haida, speedy aircraft, langoliers, haida gwaii, plane, soaring, airplane in the sky, aerial footage",3,3,4,multi_detector,0.4981574527304603,2.8618312,-0.89287114,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
357,"a plane flying over the ocean with a small island in the background, plane, langoliers, flying aircrafts, flying rocky island, speedy aircraft, wildlife, mordancage, flying whale, the other is used for flight, flight, aircraft, realistic aircrafts, flying whales, gogo, realistic aircraft, real aircrafts references, air technology, aerial",0,3,4,multi_detector,0.37963144660538906,2.9351056,-0.86183923,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
869,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,2,3,multi_detector,0.5013255819641751,7.9028563,1.2420155,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
366,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,3,4,multi_detector,0.5013255819641751,7.909279,1.2447354,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
376,"a lake surrounded by trees and mountains, banff national park, spectacular rocky mountains, british columbia, rocky mountains and a river, lake blue, mountain lakes, puddles of turquoise water, vibrant water river, mountain lake, mountains and lakes, a photo of a lake on a sunny day, teal landscape, canada, blue and green water, beautiful lake in the foreground",4,2,3,multi_detector,0.5465121039336653,7.7197776,1.1644812,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1406,"a lake with a city in the background, vancouver, whistler, beautiful cityscape background, cities flourishing, british columbia, low res, by Ancell Stronach, parks and public space, highrise buildings, mountains surrounding, tall buildings, inspired by Maxwell Gordon Lightfoot, city in backround, tall buildings in background, inspired by William Crosbie, blog-photo",2,3,4,multi_detector,0.4818933638218055,5.1817813,0.08963344,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
907,"a lake with trees in the fore and a building in the background, montreal, boston massachusetts, quebec, spring season city, boston, parks and lakes, the fall season, autumn background, autumn season, in a city with a rich history, rhode island, beautiful cityscape background, vermilion and red lake, canadian maple leaves, museum background, fall foliage",2,2,3,multi_detector,0.4517428928945151,3.780108,-0.50397867,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1437,"a large building, parliament, canada, the houses of parliament, houses of parliament, sitting at the parlament meeting, the centre cannot hold, capital city, capitol building, cwc, big ben, defence, 2 0 1 9, 2019, it is a place of worship, capital, dictatorship, official government photo, capitol hill",3,3,4,multi_detector,0.541660836936969,7.7865696,1.1927677,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
416,"a flag flying in the air, canada, flag, large rocky mountain, canadian maple leaves, country, moutains, flags, large mountain, beautiful border, cottagecore, mountains background, tall mountain, patriotism, beatiful mountain background, monumental, cad, dramatic mountain background, flag in hands, mountain background, giant imposing mountain, defence, national geographical",1,3,4,multi_detector,0.5220519153760455,6.7259054,0.7435738,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1964,"the water is green, niagara falls, beautiful stunning waterfall, 3 boat in river, immense waterfall, huge waterfalls, photo taken from a boat, floating waterfalls, white water rapids, waterfall falling into a lake, the photo was taken from a boat, water fog, waterfall(beautiful, paddle of water, water surrounds the ship, water cascading, volumetric water",3,4,5,multi_detector,0.5160864741267552,10.499318,2.3416233,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
446,"an airplane flying over a mountain range, canada, aeroplane, canadian maple leaves, aircraft, realistic aircraft, the other is used for flight, plane, speedy aircraft, long wings, aircraft wings on back, advanced economy, air, large wingspan, airplane in the sky, ultra detailed. style of arrival, wide open wings, soaring through the sky, ascendent plane",1,3,4,multi_detector,0.46713104987835696,2.9157782,-0.87002444,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
966,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,2,3,multi_detector,0.5013255819641751,7.903395,1.2422436,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1481,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,2,3,multi_detector,0.5013255819641751,7.906233,1.2434454,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1488,"a bench in the snow near a lake, toronto city, the city of toronto, toronto, spring season city, beautiful city, cn tower, winter vibrancy, winter scene, beautiful winter area, winter setting, sunny winter day, (snowy new york in background), parks and lakes, city views, cottagecore, ice city in 2 0 8 0",4,3,4,multi_detector,0.50157074258245,6.6636314,0.71720064,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
